word,score
百分之百,8
倍加,8
备至,8
不得了,8
不堪,8
不可开交,8
不亦乐乎,8
不折不扣,8
彻头彻尾,8
充分,8
到头,8
地地道道,8
非常,8
极,8
极度,8
极端,8
极其,8
极为,8
截然,8
尽,8
惊人地,8
绝,8
绝顶,8
绝对,8
绝对化,8
刻骨,8
酷,8
满,8
满贯,8
满心,8
莫大,8
奇,8
入骨,8
甚为,8
十二分,8
十分,8
十足,8
死,8
滔天,8
痛,8
透,8
完全,8
完完全全,8
万,8
万般,8
万分,8
万万,8
无比,8
无度,8
无可估量,8
无以复加,8
无以伦比,8
要命,8
要死,8
已极,8
已甚,8
异常,8
逾常,8
贼,8
之极,8
之至,8
至极,8
卓绝,8
最为,8
佼佼,8
郅,8
綦,8
齁,8
最,8
不过,6
不少,6
不胜,6
惨,6
沉,6
沉沉,6
出奇,6
大为,6
多,6
多多,6
多加,6
多么,6
分外,6
格外,6
够瞧的,6
够戗,6
好,6
好不,6
何等,6
很,6
很是,6
坏,6
可,6
老,6
老大,6
良,6
颇,6
颇为,6
甚,6
实在,6
太,6
太甚,6
特,6
特别,6
尤,6
尤其,6
尤为,6
尤以,6
远,6
着实,6
曷,6
碜,6
大不了,4
多,4
更,4
更加,4
更进一步,4
更为,4
还,4
还要,4
较,4
较比,4
较为,4
进一步,4
那般,4
那么,4
那样,4
强,4
如斯,4
益,4
益发,4
尤甚,4
逾,4
愈,4
愈 ... 愈,4
愈发,4
愈加,4
愈来愈,4
愈益,4
远远,4
越 ... 越,4
越发,4
越加,4
越来越,4
越是,4
这般,4
这样,4
足,4
足足,4
点点滴滴,2
多多少少,2
怪,2
好生,2
还,2
或多或少,2
略,2
略加,2
略略,2
略微,2
略为,2
蛮,2
稍,2
稍稍,2
稍微,2
稍为,2
稍许,2
挺,2
未免,2
相当,2
些,2
些微,2
些小,2
一点,2
一点儿,2
一些,2
有点,2
有点儿,2
有些,2
半点,0.5
不大,0.5
不丁点儿,0.5
不甚,0.5
不怎么,0.5
聊,0.5
没怎么,0.5
轻度,0.5
弱,0.5
丝毫,0.5
微,0.5
相对,0.5
不为过,10
超,10
超额,10
超外差,10
超微结构,10
超物质,10
出头,10
多,10
浮,10
过,10
过度,10
过分,10
过火,10
过劲,10
过了头,10
过猛,10
过热,10
过甚,10
过头,10
过于,10
过逾,10
何止,10
何啻,10
开外,10
苦,10
老,10
偏,10
强,10
溢,10
忒,10
